GeneName	frequency
219956	0.048
125958	0.013
256144	0.069
219959	0.05
115	0.046
26246	0.004
1387	0.063
4670	0
109	0.085
2963	0.008
1903	0.201
255725	0.283
51028	0
2769	0
9553	0.416
156	0.124
6430	0
8392	0.296
302	0.006
10189	0
79590	0.03
23279	0.027
1965	0
64407	0.013
81282	0.057
5031	0.011
56477	0.398
390072	0
5725	0
143502	0.021
4998	0.199
55226	0
25942	0
2774	0.001
11100	0
2885	0
4991	0.001
23411	0.01
5719	0.001
26533	0
991	0.072
8620	0.143
50855	0
6429	0
2912	0
65008	0.001
6171	0.018
3693	0.001
113	0.075
8111	0
4828	0
338398	0
152	0.007
119679	0.002
2960	0.002
119774	0
7168	0
28998	0
135948	0.035
121364	0.221
23533	0.019
219874	0.005
26333	0.004
1147	0.196
4116	0.009
392392	0.001
51434	0.002
5688	0
5330	0.287
10946	0
4171	0.359
120793	0
144125	0.001
6754	0
26986	0.002
6747	0.462
26735	0.087
6141	0
5715	0
5744	0.216
391190	0.033
26341	0.005
6122	0
9343	0.229
126541	0
7280	0
10161	0.021
8766	0.004
7046	0.303
1983	0.001
827	0.299
219432	0
53829	0.03
9212	0.05
10419	0
9826	0
1478	0
551	0.008
2091	0.052
9775	0
120775	0.012
125963	0
6607	0
51764	0.207
50650	0.006
26689	0
23293	0.141
283111	0
6183	0.001
1286	0.013
8666	0.003
391192	0.087
3181	0
3814	0.047
8322	0.002
6130	0
9611	0.673
63967	0.04
6727	0
347168	0
6502	0
127064	0.001
8611	0.003
718	0
339403	0.378
51692	0.005
171177	0
122740	0.085
26219	0.003
2056	0
4654	0
2837	0
11201	0
124538	0.02
55720	0.003
6233	0.065
393046	0
346525	0.005
219957	0.033
27043	0
338675	0
6237	0.001
728	0
29956	0
2959	0.02
387748	0.037
5424	0
4992	0.037
150681	0
9789	0
390077	0
1230	0.093
127385	0.004
116832	0
259286	0.029
5976	0.002
79869	0
2534	0.001
81300	0.264
219986	0
51081	0.006
8900	0.003
6729	0
2962	0.019
9170	0.066
